Language Name,Language Family,Endangerment Status,Year,Age group,Speaker by age,Lt,Ln
Atikamekw,Algonquian languages,5 (Developing),2011-01-01,0-14,2280,47.960502,-74.277655
Siksika (Blackfoot),Algonquian languages,7 (Shifting),2011-01-01,0-14,440,50.788575,-112.972441
Cree languages,Algonquian languages,6b (Threatened),2011-01-01,0-14,21825,57.844751,-101.855991
Mi'kmaq,Algonquian languages,6b (Threatened),2011-01-01,0-14,1915,45.828799,-64.326284
Innu/Montagnais,Algonquian languages,6b (Threatened),2011-01-01,0-14,3480,48.676454,-70.377626
Ojibway,Algonquian languages,6b (Threatened),2011-01-01,0-14,3105,45.429299,-79.918541
Oji-Cree,Algonquian languages,8a (Moribund),2011-01-01,0-14,3225,50.34546,-87.927117
Dakelh (Carrier),Athabaskan languages,7 (Shifting),2011-01-01,0-14,200,54.02068,-123.527897
Dene (Chipewyan),Athabaskan languages,6b (Threatened),2011-01-01,0-14,3315,59.95501,-110.154848
North Slavey (Hare),Athabaskan languages,6b (Threatened),2011-01-01,0-14,35,65.694476,-127.792353
South Slavey,Athabaskan languages,7 (Shifting),2011-01-01,0-14,115,61.773123,-121.264121
Kaska (Nahani),Athabaskan languages,7 (Shifting),2011-01-01,0-14,30,59.220934,-130.325248
Tahltan,Athabaskan languages,8a (Moribund),2011-01-01,0-14,30,57.774518,-131.87196
Haida,Haida,8b (Nearly extinct),2011-01-01,0-14,10,52.829321,-132.003884
Mohawk,Iroquoian languages,6b (Threatened),2011-01-01,0-14,375,45.090975,-74.676745
Shuswap (Secwepemctsin),Salish languages,8a (Moribund),2011-01-01,0-14,170,52.261434,-120.838256
Stoney,Siouan languages,7 (Shifting),2011-01-01,0-14,855,51.161330936,-114.852561647
Tlingit,Tlingit,8a (Moribund),2011-01-01,0-14,35,59.615890734,-133.629114002
Gitksan,Tsimshian languages,6b (Threatened),2011-01-01,0-14,65,55.262995491,-127.626300131
