Language Name,Language Family,Endangerment Status,Year,Categories,Speaker by categories,Lt,Ln
Atikamekw,Algonquian languages,5 (Developing),2011-01-01,Speaker_total,6205,47.960502,-74.277655
Siksika (Blackfoot),Algonquian languages,7 (Shifting),2011-01-01,Speaker_total,4395,50.788575,-112.972441
Cree languages,Algonquian languages,6b (Threatened),2011-01-01,Speaker_total,96690,57.844751,-101.855991
Mi'kmaq,Algonquian languages,6b (Threatened),2011-01-01,Speaker_total,8935,45.828799,-64.326284
Innu/Montagnais,Algonquian languages,6b (Threatened),2011-01-01,Speaker_total,11450,48.676454,-70.377626
Ojibway,Algonquian languages,6b (Threatened),2011-01-01,Speaker_total,25160,45.429299,-79.918541
Oji-Cree,Algonquian languages,8a (Moribund),2011-01-01,Speaker_total,10180,50.34546,-87.927117
Dakelh (Carrier),Athabaskan languages,7 (Shifting),2011-01-01,Speaker_total,2010,54.02068,-123.527897
Dene (Chipewyan),Athabaskan languages,6b (Threatened),2011-01-01,Speaker_total,12950,59.95501,-110.154848
North Slavey (Hare),Athabaskan languages,6b (Threatened),2011-01-01,Speaker_total,345,65.694476,-127.792353
South Slavey,Athabaskan languages,7 (Shifting),2011-01-01,Speaker_total,730,61.773123,-121.264121
Kaska (Nahani),Athabaskan languages,7 (Shifting),2011-01-01,Speaker_total,330,59.220934,-130.325248
Tahltan,Athabaskan languages,8a (Moribund),2011-01-01,Speaker_total,270,57.774518,-131.87196
Haida,Haida,8b (Nearly extinct),2011-01-01,Speaker_total,175,52.829321,-132.003884
Mohawk,Iroquoian languages,6b (Threatened),2011-01-01,Speaker_total,1485,45.090975,-74.676745
Shuswap (Secwepemctsin),Salish languages,8a (Moribund),2011-01-01,Speaker_total,1145,52.261434,-120.838256
Stoney,Siouan languages,7 (Shifting),2011-01-01,Speaker_total,3500,51.161330936,-114.852561647
Tlingit,Tlingit,8a (Moribund),2011-01-01,Speaker_total,185,59.615890734,-133.629114002
Gitksan,Tsimshian languages,6b (Threatened),2011-01-01,Speaker_total,1100,55.262995491,-127.626300131
Nisga'a,Tsimshian languages,7 (Shifting),2011-01-01,Speaker_total,1045,55.076431797,-129.450297415
Tsimshian,Tsimshian languages,8a (Moribund),2011-01-01,Speaker_total,485,54.523654629,-128.551250580
Kwakiutl (Kwak'wala),Wakashan languages,8a (Moribund),2011-01-01,Speaker_total,575,50.916887,-127.298863
Inuktitut,Inuit languages,2 (Provincial),2011-01-01,Speaker_total,36950,63.747255389,-68.515035761
Atikamekw,Algonquian languages,5 (Developing),2011-01-01,L1_speakers,5820,47.960502,-74.277655
Siksika (Blackfoot),Algonquian languages,7 (Shifting),2011-01-01,L1_speakers,2860,50.788575,-112.972441
Cree languages,Algonquian languages,6b (Threatened),2011-01-01,L1_speakers,78200,57.844751,-101.855991
Mi'kmaq,Algonquian languages,6b (Threatened),2011-01-01,L1_speakers,7635,45.828799,-64.326284
